code,name,academic_units
BS3338,UAEB II - EFFECT OF ANTI-MITOTIC DRUGS ON CANCER CELLS,3
BS3340,UAEB(I) - SCIENCE OF AGING & LIFE EXTENSION IN C.ELEGANS,3
BS3342,UAEB II -ROLE OF ACTIN CYTOSKELETON REGULATORS IN METASTASIS,3
BS3344,UAEB II - MACROMOLECULAR CRYSTALLOGRAPHY,3
BS3351,UAEB (SERIES I) - PLANT TAXONOMY & MOLECULAR PHYLOGENETICS,3
BS3355,UAEB WORKSHOP (SERIES I) - HOW TO MAKE A PEPTIDE?,3
BS3356,UAEB(SERIES I)-ATOMIC SCALE IMAGING OF BIOMOLECULES USING EM,3
BS3357,UAEB SERIES I: REAL-TIME ANALYSIS ON PROTEIN-LIGAND BINDING,3
BS4002,CURRENT TOPICS IN CELL BIOLOGY,3
BS4010,SYNTHETIC BIOLOGY,3
BS4014,MOLECULAR BASIS OF DISEASES,3
BS4015,PLANT BIOTECHNOLOGY,3
BS4017,HIGH-THROUGHPUT BIOINFORMATICS,3
BS4018,BIOLOGY OF AGING & NEURODEGENERATION,3
BS4019,DISCOVERY & DEVELOPMENT OF THERAPEUTIC ANTIBODIES,3
BS4206,MEDICAL DEVICE RELATED REQUIREMENTS & REGULATIONS,3
BS5804,TRADITIONAL CHINESE MEDICINE: A PRIMER COURSE,3
BT2403,SERVICES OPERATIONS MANAGEMENT,4
BT2404,SERVICES OPERATIONS MANAGEMENT,3
BU5101,ACCOUNTING: A USER PERSPECTIVE,3
BU5201,BUSINESS FINANCE,3
BU5241,FINANCIAL WELLBEING,3
BU5302,LAW OF INTELLECTUAL PROPERTY & NEW MEDIA,3
BU5341,PRACTICAL ETHICS: THINKING ABOUT RIGHT & WRONG,3
BU5401,MANAGEMENT DECISION TOOLS,3
BU5501,MARKETING FOR THE 21ST CENTURY,3
BU5505,CROSS-CULTURAL MARKETING,3
BU5544,MARKETING HEALTH: CONSUMERS' PURSUIT OF WELLNESS,3
BU5545,CONSUMER NEUROSCIENCE: HOW BRAIN SCIENCE IS INFORMING BUS,3
BU5546,LUXURY MARKETING,3
BU5601,FUNDAMENTALS OF MANAGEMENT,3
BU5603,NEGOTIATION: STRATEGY & PRACTICE,3
BU5604,LEADERSHIP IN ORGANISATIONS,3
BU5605,MANAGING ORGANIZATIONAL CHANGE,3
BU5641,CULTURAL INTELLIGENCE: HOW TO BE AN EXPLORER OF THE WORLD,3
BU5642,LEADERSHIP IN THE 21ST CENTURY,3
BU5643,CULTURAL INTELLIGENCE: MAKING THE WORLD YOUR CLASSROOM,3
BU5644,SMARTER BRAIN? THE SCIENCE OF DECISION MAKING,3
BU5703,INTERNATIONAL BUSINESS ENVIRONMENT,3
CB0494,INTRODUCTION TO DATA SCIENCE & ARTIFICIAL INTELLIGENCE,3
CB1102,"INTRO TO CHEMISTRY, CHEM ENG & BIOMED ENG",1
CB1103,ORGANIC CHEMISTRY FOR ENGINEERS,3
CB1117,ENGINEERING MATHEMATICS,4
CB1131,INTRODUCTION TO BIOMOLECULAR ENGINEERING,3
CB4001,MICROFLUIDICS & ITS APPLICATIONS,3
CB4002,INTRODUCTION TO CHEMICAL & BIOLOGICAL SAFETY,1
CB4216,ENTREPRENEURSHIP IN MEDTECH & BIOTECHNOLOGY,3
CB4246,OPTIMISATION USING ARTIFICIAL INTELLIGENCE,3
CB4247,STATISTICS & COMPUTATIONAL INFERENCE TO BIG DATA,3
CB4248,ADVANCED SEMICONDUCTOR PROCESSES,3
CC0001,INQUIRY & COMMUNICATION IN AN INTERDISCIPLINARY WORLD,2
CC0002,NAVIGATING THE DIGITAL WORLD,2
CC0003,ETHICS & CIVICS IN A MULTICULTURAL WORLD,2
